,Classificador,F1 N,F1 P,Prec. N,Prec P,Rec N,Rec P
0,LogisticRegression,"0,46666667","0,90588235","0,56451613","0,87899543","0,39772727","0,93446602"
1,LogisticRegression,"0,46666667","0,90588235","0,56451613","0,87899543","0,39772727","0,93446602"
2,MLP,"0,18691589","0,90257559","0,52631579","0,83783784","0,11363636","0,97815534"
3,MLPClassifier,"0,44755245","0,90781797","0,58181818","0,8741573","0,36363636","0,94417476"
4,RidgeClassifier,"0,42028986","0,90719258","0,58",,"0,32954545","0,94902913"
5,DecisionTreeClassifier,"0,38043478","0,86029412","0,36458333","0,86881188","0,39772727","0,85194175"
