Técnica,F1 N,F1 P,Prec. N,Prec. P,Rec. N,Rec. P
s/ oversampling,"0,9467","0,6400","0,9302","0,7273","0,9639","0,5714"
ROS 1:1,"0,9535","0,6364","0,9213","0,8750","0,9880","0,5000"
SMOTE 1:1,"0,9474","0,6087","0,9205","0,7778","0,9759","0,5000"
Paráfrase 1:1,"0,9474","0,6087","0,9205","0,7778","0,9759","0,5000"
ROS 1:*,"0,9540","0,6000","0,9121","1,0000","1,0000","0,4286"
SMOTE 1:*,"0,9405","0,6154","0,9294","0,6667","0,9518","0,5714"
Paráfrase 1:*,"0,9176","0,4167","0,8966","0,5000","0,9398","0,3571"
