FE Dataset,Prec. N,Prec. P,Rec. N,Rec. P,F1 N,F1 P
semeval2015_2,"0,9121","1,0000","1,0000","0,4286","0,9540","0,6000"
semeval2015_2,"0,9213","0,8750","0,9880","0,5000","0,9535","0,6364"
semeval2015_2,"0,9205","0,7778","0,9759","0,5000","0,9474","0,6087"
semeval2015_paraphrased2,"0,9205","0,7778","0,9759","0,5000","0,9474","0,6087"
semeval2015_2,"0,9294","0,6667","0,9518","0,5714","0,9405","0,6154"
semeval2015_2,"0,9294","0,6667","0,9518","0,5714","0,9405","0,6154"
semeval2015_paraphrased2_1to4_selected,"0,8966","0,5000","0,9398","0,3571","0,9176","0,4167"
