,FE Model,FE Method,FE Layers,FE Layers Agg Method,FE Dataset,Test Dataset,Classifier,F1,Precision,Recall,Confusion Matrix,Timestamp
1,jhu-clsp/bernice,cls,,-,semeval2024,dev_set,LogisticRegression,[0.46666667 0.90588235],[0.56451613 0.87899543],[0.39772727 0.93446602],[[ 35  53] [ 27 385]],1727899024
2,jhu-clsp/bernice,cls,,-,semeval2024_paraphrased_select_low,dev_set,LogisticRegression,[0.5443787  0.90734055],[0.56790123 0.89976134],[0.52272727 0.91504854],[[ 46  42] [ 35 377]],1727899079
3,jhu-clsp/bernice,cls,,-,semeval2024_paraphrased_select_mid,dev_set,LogisticRegression,[0.54022989 0.9031477 ],[0.54651163 0.90096618],[0.53409091 0.90533981],[[ 47  41] [ 39 373]],1727899116
4,jhu-clsp/bernice,cls,,-,semeval2024_paraphrased_select_high,dev_set,LogisticRegression,[0.52631579 0.90229192],[0.54216867 0.89688249],[0.51136364 0.90776699],[[ 45  43] [ 38 374]],1727899152
