,FE Model,FE Method,FE Layers,FE Layers Agg Method,FE Dataset,Test Dataset,Classifier,F1,Precision,Recall,Confusion Matrix,Timestamp
1,jhu-clsp/bernice,cls,,-,semeval2015,dev_set,LogisticRegression,[0.94674556 0.64      ],[0.93023256 0.72727273],[0.96385542 0.57142857],[[80  3] [ 6  8]],1720471206
2,jhu-clsp/bernice,cls,,-,semeval2015,dev_set,LogisticRegression,[0.94047619 0.61538462],[0.92941176 0.66666667],[0.95180723 0.57142857],[[79  4] [ 6  8]],1720471230
3,jhu-clsp/bernice,cls,,-,semeval2015,dev_set,LogisticRegression,[0.94047619 0.61538462],[0.92941176 0.66666667],[0.95180723 0.57142857],[[79  4] [ 6  8]],1720471242
4,jhu-clsp/bernice,cls,,-,semeval2015_paraphrased,dev_set,LogisticRegression,[0.93413174 0.59259259],[0.92857143 0.61538462],[0.93975904 0.57142857],[[78  5] [ 6  8]],1720471309
